Result,B365H,B365D,B365A
A,3.8,3.5,2.1
A,4.75,3.9,1.8
H,1.85,4.0,4.2
A,1.65,4.0,6.0
D,7.5,4.5,1.5
H,2.3,3.25,3.5
A,2.4,3.25,3.3
H,1.95,3.5,4.5
H,2.15,3.4,3.8
A,3.0,3.3,2.6
D,3.5,3.4,2.25
D,1.29,6.0,13.0
H,2.38,3.25,3.4
D,1.22,7.0,15.0
A,9.0,6.0,1.33
D,2.38,3.25,3.4
D,1.8,4.0,4.5
H,1.36,5.25,10.0
D,2.15,3.25,3.9
H,1.65,4.0,5.75
A,4.1,3.9,1.91
H,1.14,10.0,21.0
A,5.5,3.8,1.73
A,6.0,4.1,1.62
A,2.4,3.3,3.25
A,6.0,4.33,1.6
H,2.8,3.1,2.9
H,1.33,5.5,11.0
D,2.8,3.25,2.5
A,2.75,3.3,2.5
A,8.5,4.75,1.36
H,1.17,7.0,15.0
H,2.88,3.2,2.45
D,2.15,3.2,3.5
H,1.8,3.5,4.5
H,1.2,6.5,13.0
A,1.67,3.6,5.75
D,5.0,3.8,1.67
D,2.75,3.25,2.8
H,9.0,5.0,1.4
D,2.8,3.25,2.8
H,1.14,9.5,21.0
H,2.2,3.25,3.75
H,1.2,8.0,15.0
H,5.25,4.33,1.65
D,3.25,3.3,2.4
D,1.91,3.6,4.5
D,2.05,3.4,4.2
A,1.83,3.5,5.25
H,1.36,5.25,10.0
H,11.0,5.0,1.36
H,1.11,12.0,26.0
H,2.0,3.5,4.2
H,1.85,3.39,5.25
A,2.14,3.5,3.6
A,2.79,3.25,2.75
A,3.79,3.6,2.04
H,2.25,3.5,3.39
H,1.25,7.0,12.0
A,6.0,4.2,1.61
D,2.39,3.29,3.29
H,1.25,6.75,13.0
H,2.14,3.39,3.79
A,2.04,3.6,3.79
A,11.0,6.5,1.28
D,3.29,3.2,2.45
H,2.14,3.39,3.75
H,2.89,3.2,2.7
H,2.79,3.0,3.0
A,2.0,3.5,4.2
A,1.66,3.75,6.5
D,2.7,3.29,2.87
A,2.39,3.2,3.39
A,5.25,4.33,1.66
H,2.5,3.2,3.2
H,2.2,3.39,3.6
H,1.39,5.5,7.5
H,1.28,6.0,12.0
H,2.5,3.6,2.89
H,1.83,3.5,5.25
H,2.14,3.2,4.0
D,2.39,3.25,3.29
A,9.5,5.75,1.33
H,1.39,5.0,9.0
H,1.28,5.75,13.0
A,6.5,4.0,1.61
H,2.1,3.5,3.75
D,2.39,3.2,3.39
D,2.7,3.39,2.75
H,2.04,3.5,4.0
D,2.14,3.6,3.5
H,1.19,7.0,19.0
A,2.2,3.5,3.5
D,2.79,3.25,2.79
D,1.25,6.0,16.0
A,6.5,4.5,1.53
A,17.0,8.0,1.18
H,1.9,3.39,4.75
D,2.7,3.1,3.0
H,5.0,3.89,1.75
A,5.25,3.89,1.72
D,2.37,3.1,3.5
H,1.19,7.5,17.0
A,2.0,3.39,4.33
H,1.18,8.0,17.0
H,2.37,3.29,3.29
H,1.19,8.0,15.0
A,6.5,4.5,1.55
A,2.5,3.39,3.0
A,7.5,4.5,1.5
H,1.25,6.5,15.0
H,1.72,3.79,5.5
H,1.83,3.6,5.0
H,1.95,3.39,4.5
D,5.0,4.0,1.72
D,2.5,3.2,3.2
D,2.89,3.25,2.39
H,1.08,11.0,21.0
H,2.6,3.25,3.0
D,2.04,3.5,4.0
H,2.7,3.1,3.0
A,2.62,3.29,2.89
H,2.7,3.1,3.0
H,1.28,6.5,11.0
H,7.5,4.5,1.5
D,1.3,6.0,11.0
A,3.39,3.5,2.25
D,4.0,3.75,1.95
