Result,B365H,B365D,B365A
D,2.1,3.25,3.4
D,1.444,4.0,7.5
D,1.615,3.4,6.0
A,1.909,3.3,4.0
H,4.5,3.6,1.727
H,2.75,3.4,2.375
D,2.375,3.25,2.875
H,1.4,4.333,7.5
A,2.2,3.25,3.2
H,2.25,3.3,3.0
D,2.5,3.4,2.62
A,1.8,3.3,4.5
A,2.3,3.25,3.0
A,1.9,3.25,4.0
D,1.61,3.6,5.5
A,2.1,3.25,3.4
H,2.7,3.25,2.5
D,5.5,3.4,1.66
D,1.36,4.33,9.0
H,3.75,3.5,1.9
D,1.8,3.4,4.33
H,1.53,3.6,6.5
H,2.62,3.4,2.5
D,2.2,3.25,3.2
H,2.5,3.4,2.62
H,1.66,3.6,5.0
H,2.25,3.5,2.87
H,1.57,3.5,6.5
D,4.5,3.3,1.8
A,3.4,3.25,2.1
A,2.25,3.3,3.0
D,2.6,3.25,2.6
H,2.4,3.4,2.75
D,2.25,3.2,3.1
H,2.1,3.25,3.4
D,2.87,3.4,2.3
H,2.3,3.4,2.87
A,3.25,3.4,2.1
D,1.3,5.0,9.0
D,2.87,3.6,2.2
H,1.25,5.0,13.0
A,2.2,3.4,3.0
D,2.1,3.4,3.25
A,2.0,3.2,3.75
H,2.0,3.3,3.6
H,1.33,4.5,9.0
D,2.0,3.3,3.6
H,2.1,3.25,3.4
H,2.25,3.3,3.0
A,2.37,3.3,2.8
H,1.57,3.9,7.5
H,1.9,3.6,4.5
A,2.5,3.4,3.0
A,6.5,4.0,1.61
A,3.9,3.5,2.04
H,2.37,3.2,3.4
D,2.37,3.3,3.3
A,4.0,3.8,1.95
H,1.25,6.5,14.0
D,1.85,3.5,5.0
D,3.25,3.1,2.54
H,1.8,4.0,4.5
H,1.9,3.5,4.75
H,2.04,3.5,3.9
H,1.28,6.0,12.0
A,2.1,3.6,3.7
H,5.5,3.6,1.75
A,2.45,3.1,3.4
H,1.1,13.0,26.0
A,7.0,5.0,1.44
H,1.36,5.5,9.0
D,2.62,3.6,2.75
D,2.37,3.0,3.7
H,1.16,8.5,19.0
A,2.45,3.2,3.25
D,11.0,6.5,1.28
H,2.0,3.4,4.33
A,5.75,4.0,1.66
H,2.6,3.25,3.0
A,2.62,3.3,2.9
D,2.3,3.4,3.4
H,1.3,6.0,11.0
A,2.0,3.5,4.2
D,1.53,4.2,7.5
A,7.5,5.0,1.44
H,1.11,11.0,26.0
A,2.6,3.4,2.87
A,6.0,3.75,1.7
A,6.5,4.33,1.57
H,5.5,4.2,1.64
H,2.45,3.5,3.0
H,1.18,8.0,19.0
A,3.3,3.1,2.5
H,1.12,10.0,26.0
A,4.2,3.8,1.9
A,3.0,3.6,2.4
A,4.33,3.6,1.95
A,2.0,3.75,3.9
H,1.75,3.6,5.75
D,2.1,3.4,3.9
A,5.0,4.0,1.75
H,3.0,3.4,2.5
A,23.0,8.0,1.16
D,2.14,3.4,3.75
D,2.54,3.5,2.9
H,1.61,4.0,6.5
H,1.2,7.5,17.0
D,1.57,4.33,6.5
H,1.44,5.0,7.5
D,6.0,4.5,1.57
H,1.44,5.1,7.0
D,2.8,3.6,2.54
H,1.75,4.2,4.75
A,8.5,4.5,1.44
H,1.1,12.0,34.0
A,2.6,3.3,3.0
H,4.5,3.8,1.85
H,1.8,3.6,5.25
A,2.62,3.0,3.2
H,2.25,3.5,3.4
H,2.7,3.3,2.87
D,2.14,3.1,4.2
A,3.0,3.2,2.62
A,2.2,3.4,3.6
H,1.44,4.5,9.0
H,1.22,7.0,15.0
A,2.14,3.6,3.5
A,5.25,4.33,1.66
D,2.54,3.6,2.8
A,6.0,4.1,1.61
D,2.04,3.7,3.75
H,2.5,3.5,2.95
D,1.75,3.8,5.25
A,11.0,5.5,1.33
H,1.08,13.0,34.0
A,2.2,3.25,3.8
A,4.1,3.9,1.9
A,1.75,3.75,5.25
H,1.85,3.6,4.75
H,1.53,4.5,6.5
H,3.2,3.2,2.5
A,2.9,3.75,2.4
D,2.1,3.5,3.8
H,1.11,11.0,26.0
D,2.1,3.4,3.9
H,1.75,3.75,5.25
A,11.0,5.0,1.36
D,4.75,4.1,1.75
H,1.72,3.9,5.25
A,4.75,4.1,1.75
D,3.9,3.9,1.95
A,3.6,3.7,2.1
A,3.8,3.4,2.14
H,1.61,4.0,6.5
H,2.75,3.25,2.8
H,1.75,3.75,5.25
A,3.1,3.4,2.45
H,1.25,6.75,13.0
H,1.11,11.0,29.0
H,2.3,3.5,3.3
H,2.6,3.1,3.1
A,4.5,3.75,1.85
D,3.4,3.25,2.35
D,1.5,4.33,8.0
H,2.9,3.4,2.6
D,2.5,3.3,3.1
D,1.66,4.2,5.25
D,1.4,5.25,8.5
H,1.11,11.0,26.0
H,1.4,5.25,8.5
D,2.9,3.4,2.6
H,1.4,5.0,9.0
H,2.62,3.5,2.8
D,1.4,5.25,8.0
H,2.8,3.5,2.6
A,6.5,4.33,1.55
A,13.0,6.5,1.25
A,3.5,3.75,1.95
A,1.5,4.33,8.0
A,2.9,3.2,2.75
H,3.8,3.25,2.2
H,1.61,3.9,6.5
A,2.5,3.0,3.4
H,2.25,3.3,3.6
H,1.11,11.0,26.0
A,2.5,3.3,3.1
D,4.33,3.6,1.95
H,2.62,3.6,2.75
H,1.18,8.0,17.0
H,1.4,5.0,9.0
H,1.66,3.8,6.0
H,3.0,3.1,2.7
A,11.0,6.0,1.3
H,1.66,4.0,5.75
A,14.0,5.75,1.28
D,1.6,4.0,6.5
D,3.0,3.5,2.45
D,2.45,3.5,3.0
H,1.36,5.25,9.5
H,5.0,3.75,1.8
H,1.28,6.0,12.0
A,5.75,4.5,1.6
H,2.9,3.2,2.75
H,2.9,3.25,2.7
H,4.0,3.8,1.95
A,3.8,3.75,2.0
H,1.33,5.75,10.0
H,2.3,3.4,3.4
A,2.9,3.2,2.7
D,1.8,3.75,5.0
H,2.62,3.2,3.0
A,2.9,3.6,2.5
A,2.6,3.1,3.1
H,1.22,7.5,13.0
H,1.18,8.0,19.0
H,1.64,3.9,6.0
H,1.95,3.6,4.33
A,7.5,4.5,1.5
H,1.57,4.5,6.0
H,4.1,3.9,1.9
A,7.0,4.0,1.57
H,1.25,6.5,15.0
H,1.9,3.7,4.33
A,6.5,4.2,1.57
A,1.33,5.5,11.0
A,3.1,3.1,2.6
A,1.14,10.0,21.0
D,2.0,3.6,4.0
A,2.37,3.5,3.1
A,3.25,3.5,2.3
D,5.25,3.9,1.72
A,4.33,3.5,1.95
D,1.66,4.0,5.75
D,3.25,3.4,2.37
H,9.5,5.25,1.36
H,1.16,8.5,19.0
H,1.25,6.5,15.0
H,1.36,5.5,9.0
A,5.25,3.8,1.75
A,2.3,3.5,3.3
H,3.25,3.4,2.14
H,2.0,3.4,3.75
A,1.55,4.0,6.0
H,1.5,4.5,5.75
A,1.33,5.0,8.5
D,1.85,3.6,4.0
H,3.3,3.2,2.25
A,4.75,4.0,1.66
H,1.33,4.75,10.0
A,10.0,5.25,1.3
H,1.33,5.75,9.5
A,7.5,4.5,1.5
A,2.0,3.5,4.2
D,2.6,3.6,2.75
D,1.28,6.5,11.0
A,2.14,3.1,4.2
A,6.0,4.2,1.61
D,1.95,3.75,4.0
A,2.0,3.4,4.33
H,2.04,3.8,3.6
A,11.0,6.0,1.3
H,2.4,3.3,3.25
D,2.25,3.25,3.6
H,1.22,7.0,15.0
A,2.25,3.4,3.5
A,1.95,3.5,4.33
H,3.5,4.0,2.05
H,1.75,4.0,4.8
A,2.05,3.7,3.75
H,1.18,8.0,17.0
H,3.1,3.6,2.37
H,2.37,3.7,3.0
H,1.2,7.5,17.0
H,1.3,5.75,12.0
H,1.95,3.4,4.5
H,2.75,3.4,2.7
D,1.65,4.0,5.75
H,2.37,3.2,3.4
A,5.25,3.8,1.75
A,21.0,8.5,1.16
H,1.22,7.0,15.0
H,2.37,3.3,3.3
A,4.0,3.3,2.1
D,1.28,6.0,12.0
H,19.0,8.0,1.18
H,2.1,3.5,3.75
H,5.25,4.2,1.66
D,1.22,7.0,15.0
D,2.4,3.4,3.2
H,1.66,4.0,5.75
D,2.55,3.3,3.0
D,2.55,3.5,2.87
H,3.25,3.5,2.3
H,1.2,7.5,19.0
H,2.05,3.5,4.0
A,2.37,3.4,3.25
H,1.44,4.5,9.0
A,3.6,3.5,2.15
H,1.33,6.0,9.0
D,8.0,5.25,1.4
A,10.0,6.25,1.3
A,2.05,3.3,4.2
D,2.1,3.5,3.75
A,5.5,4.4,1.61
A,5.75,4.4,1.6
H,1.22,7.5,14.0
A,1.75,3.9,5.0
H,2.35,3.5,3.2
H,1.5,4.75,7.0
H,1.7,3.9,5.5
D,1.7,3.75,5.75
A,3.1,3.4,2.45
H,1.95,3.8,4.0
D,2.87,3.4,2.62
H,5.75,3.8,1.7
A,2.25,3.4,3.5
H,1.83,3.5,5.25
H,1.5,4.75,7.0
D,3.1,3.5,2.37
A,3.75,3.4,2.15
H,5.0,3.5,1.85
H,1.9,3.5,4.6
H,2.15,3.3,3.9
H,1.44,5.0,7.5
H,2.3,3.5,3.25
A,3.25,3.5,2.3
H,1.28,6.0,12.0
H,1.16,9.0,19.0
H,1.9,3.7,4.33
A,13.0,7.5,1.22
H,1.85,3.4,5.25
A,2.8,3.3,2.75
H,1.45,4.5,8.5
D,2.05,3.7,3.75
H,2.15,3.5,3.6
H,1.5,4.33,8.0
D,6.0,4.2,1.61
A,6.5,4.5,1.53
H,2.55,3.3,3.0
H,3.6,3.5,2.15
A,1.83,3.6,5.0
A,3.4,3.3,2.35
H,1.57,4.5,6.0
H,1.16,9.0,19.0
H,2.8,3.25,2.8
H,4.5,3.8,1.85
H,2.4,3.6,3.0
D,1.55,4.2,7.0
H,1.16,8.5,21.0
D,2.05,3.6,3.8
A,3.1,3.4,2.45
H,1.55,4.2,7.0
H,4.0,3.8,1.95
A,12.0,7.0,1.25
A,2.55,3.2,3.1
H,3.2,3.25,2.45
H,1.45,4.4,9.0
A,21.0,11.0,1.12
H,1.85,3.8,4.5
H,1.44,4.75,8.0
A,2.55,3.5,2.9
A,9.0,4.5,1.44
H,1.61,4.2,6.0
H,1.36,5.25,9.5
H,1.72,4.0,5.0
H,4.0,3.6,2.0
H,1.25,6.5,15.0
H,1.06,17.0,34.0
H,1.45,5.0,7.5
A,9.0,5.0,1.4
A,2.1,3.6,3.75
A,5.0,4.0,1.72
A,2.6,3.25,3.0
H,3.0,3.75,2.35
H,1.33,5.75,9.5
A,1.66,4.0,5.75
A,2.3,3.4,3.4
H,1.9,3.6,4.5
H,5.0,4.0,1.75
H,1.4,5.25,8.5
H,2.6,3.25,3.0
H,1.22,7.0,15.0
A,11.0,6.0,1.3
H,1.66,4.2,5.25
A,3.2,3.75,2.25
A,2.0,3.3,4.5
A,1.65,4.4,5.25
A,4.4,3.9,1.85
H,1.3,6.0,11.0
H,2.55,3.2,3.1
D,3.3,3.5,2.3
D,1.75,3.5,6.0
A,1.53,4.6,6.5
A,17.0,7.5,1.2
H,3.25,3.5,2.3
D,1.25,6.25,15.0
H,1.28,6.0,13.0
D,2.25,3.5,3.4
A,7.5,5.0,1.44
H,2.9,3.5,2.55
H,1.07,15.0,41.0
D,2.3,3.2,3.6
D,2.62,3.5,2.8
H,2.4,3.6,3.0
D,1.9,3.9,4.1
A,1.4,5.5,7.5
A,2.62,3.3,2.9
A,23.0,9.0,1.14
H,2.75,3.6,2.6
D,2.7,3.5,2.7
H,1.66,4.0,5.75
H,4.0,4.0,1.9
A,2.6,3.75,2.7
A,9.5,5.25,1.36
H,2.3,3.75,3.1
H,1.53,4.2,7.5
D,1.4,5.0,9.0
H,1.4,5.25,8.0
D,11.0,6.0,1.3
H,1.12,8.5,17.0
A,19.0,8.5,1.16
A,3.25,3.8,2.2
H,1.9,4.2,3.8
A,2.5,3.6,2.9
D,2.4,3.75,2.9
H,1.3,6.0,11.0
A,1.28,6.5,11.0
D,1.44,4.75,8.5
D,2.2,3.5,3.5
A,2.25,3.75,3.2
H,1.14,10.0,19.0
A,12.0,6.5,1.22
D,1.95,3.6,3.6
H,2.62,3.2,2.75
D,3.0,3.25,2.37
A,1.9,3.4,4.0
H,1.3,5.25,10.0
D,2.2,3.2,3.4
A,4.5,3.75,1.72
H,2.1,3.3,3.5
H,1.3,5.5,10.0
A,2.3,3.4,3.1
D,2.55,3.25,2.87
H,1.72,3.8,4.75
H,2.25,3.3,3.3
A,6.5,4.75,1.44
D,1.36,5.25,8.0
H,2.55,3.1,2.9
D,1.7,3.75,5.0
D,3.3,3.3,2.25
H,3.25,3.5,2.15
A,4.33,3.75,1.8
A,2.4,3.3,3.0
A,1.33,5.25,9.0
A,3.3,3.3,2.25
A,2.05,3.5,3.5
H,1.5,4.6,6.0
A,15.0,7.5,1.16
A,1.2,6.5,14.0
D,1.85,3.4,4.5
D,3.8,3.3,2.05
D,1.36,4.75,9.0
H,2.15,3.3,3.5
H,1.7,4.0,4.75
H,1.08,10.0,26.0
D,2.5,3.25,2.87
H,1.85,3.9,3.9
A,9.5,5.5,1.3
H,2.2,3.25,3.5
D,2.37,3.6,2.8
H,1.14,8.5,17.0
D,2.15,3.3,3.5
H,1.95,3.5,4.0
A,2.45,3.2,3.0
H,1.36,5.25,8.0
A,2.9,3.3,2.5
H,15.0,9.0,1.14
H,2.9,3.5,2.4
D,3.6,3.6,2.0
D,2.62,3.5,2.6
A,2.05,3.6,3.5
H,2.87,3.5,2.37
H,2.0,3.8,3.5
A,1.61,3.75,6.0
H,1.1,11.0,21.0
D,2.5,3.2,3.0
D,2.62,3.1,2.87
H,3.1,3.6,2.2
H,1.4,4.75,8.0
A,3.5,3.75,2.0
A,9.0,5.25,1.33
D,2.3,3.4,3.1
D,2.5,3.5,2.75
H,1.4,4.75,8.0
H,1.9,3.75,3.75
H,1.4,4.75,8.0
H,1.85,3.4,4.5
A,10.0,5.5,1.3
H,1.5,4.0,7.5
D,2.37,3.5,2.9
H,3.9,3.6,1.9
H,2.87,3.3,2.5
H,1.44,4.75,7.0
A,2.37,3.6,2.8
D,2.05,3.4,3.6
A,1.95,3.6,3.8
H,1.44,4.75,7.0
A,1.12,9.0,21.0
A,4.0,3.8,1.85
H,4.5,3.5,1.85
H,1.95,3.75,3.75
H,2.35,3.4,3.0
D,1.72,4.2,4.2
H,1.3,5.5,10.0
H,1.57,4.0,6.0
D,1.4,5.0,7.5
D,1.8,3.6,4.5
A,12.0,7.0,1.22
D,5.25,3.8,1.65
H,3.9,3.75,1.9
A,3.1,3.4,2.3
H,1.08,11.0,26.0
H,2.9,3.25,2.5
D,2.15,3.6,3.25
D,2.1,3.5,3.5
A,4.5,4.0,1.72
D,3.0,3.1,2.55
D,1.45,4.75,6.5
H,1.5,4.33,6.5
A,4.33,4.0,1.75
H,3.25,3.6,2.15
D,1.75,3.75,4.75
A,9.0,5.0,1.33
H,1.72,4.2,4.33
H,1.07,13.0,23.0
H,2.25,3.2,3.4
A,1.75,3.8,4.5
A,5.0,4.33,1.61
A,3.5,3.4,2.1
D,2.7,3.4,2.6
A,2.7,3.5,2.55
H,1.33,5.0,10.0
H,2.25,3.5,3.1
H,2.55,3.25,2.8
A,2.9,3.3,2.45
D,1.57,4.0,6.0
H,2.0,3.75,3.5
H,1.6,3.75,6.5
H,1.9,3.5,4.2
H,2.5,3.6,2.62
A,4.2,4.33,1.7
D,1.45,4.75,6.5
A,2.75,3.3,2.6
A,3.75,3.5,2.0
A,7.5,4.75,1.4
A,1.36,5.1,8.0
A,2.3,3.4,3.1
H,1.44,5.0,6.5
D,3.5,3.4,2.1
H,2.05,3.4,3.7
D,13.0,8.0,1.16
A,2.25,3.25,3.3
A,1.28,6.0,9.0
H,1.18,7.0,15.0
H,1.36,5.5,7.5
H,2.1,3.4,3.5
D,4.0,4.33,1.75
D,1.9,3.5,4.2
H,1.61,4.0,5.25
D,1.45,4.5,7.0
H,2.2,3.4,3.25
A,11.0,7.0,1.22
H,1.28,5.75,10.0
H,1.33,5.5,8.0
H,2.75,3.4,2.55
H,1.72,4.0,4.2
H,1.75,3.7,4.75
H,1.36,5.0,8.5
A,1.83,3.4,4.6
A,1.57,4.33,5.5
H,3.5,3.75,2.0
A,7.0,5.25,1.4
H,1.4,4.75,8.0
D,2.37,3.3,3.1
A,1.3,5.5,10.0
A,4.33,3.8,1.8
H,2.5,3.2,2.9
A,2.9,3.5,2.37
D,2.62,3.1,2.87
A,3.3,4.0,2.0
H,1.16,7.5,17.0
H,1.95,3.4,4.0
A,1.25,6.0,12.0
D,1.22,6.5,13.0
H,1.85,3.75,4.2
A,1.9,3.8,3.8
D,1.8,3.7,4.5
A,3.25,3.4,2.25
A,6.0,5.25,1.44
D,2.55,3.25,2.87
D,2.3,3.8,2.87
A,2.4,3.6,2.8
A,2.4,3.4,2.9
A,2.2,3.25,3.5
H,2.37,3.1,3.25
A,3.75,3.8,1.9
H,1.36,5.25,7.5
H,4.33,4.0,1.75
A,2.37,3.75,2.75
H,1.53,4.33,6.0
H,2.1,3.75,3.3
D,3.5,3.9,1.95
A,1.33,5.25,9.0
H,2.3,3.4,3.1
H,1.7,3.75,5.0
D,1.83,3.6,4.33
H,1.33,5.25,9.0
A,3.4,3.75,2.05
H,8.5,5.0,1.36
H,1.75,3.9,4.33
A,3.6,3.4,2.05
D,1.95,3.6,3.8
H,1.95,3.8,3.6
D,5.0,4.0,1.66
A,4.0,3.9,1.83
A,4.33,3.75,1.8
A,2.87,3.75,2.3
H,1.25,5.75,12.0
H,1.16,7.5,16.0
D,3.6,3.6,1.95
A,1.75,3.8,4.33
A,5.0,3.8,1.66
H,3.3,3.5,2.1
H,3.0,3.4,2.3
H,1.25,6.5,10.0
D,2.5,3.4,2.75
H,1.9,3.75,3.8
H,2.55,3.6,2.62
H,1.2,6.5,13.0
H,1.95,3.4,4.0
D,4.1,3.9,1.8
H,1.28,5.5,11.0
H,1.85,3.8,4.0
A,1.6,4.0,5.5
H,1.33,5.25,8.5
D,1.44,4.5,7.5
A,4.5,4.33,1.66
A,2.6,3.3,2.7
A,13.0,8.5,1.16
D,3.25,3.5,2.2
D,1.83,3.6,4.33
D,1.66,4.0,5.0
D,1.1,11.0,19.0
H,2.2,3.5,3.25
A,2.4,3.4,3.0
D,2.9,3.5,2.37
H,6.0,4.5,1.5
H,4.33,3.75,1.83
H,1.36,5.25,8.0
H,2.8,3.5,2.45
H,2.87,3.4,2.45
A,2.7,3.25,2.7
D,1.55,4.1,6.0
A,7.0,5.0,1.4
D,1.72,3.9,4.5
H,1.53,4.33,6.0
H,1.4,5.0,7.5
A,1.36,4.75,9.0
A,5.75,3.8,1.61
A,8.5,5.5,1.33
D,2.5,3.6,2.7
H,2.1,3.6,3.3
A,3.1,3.1,2.5
H,1.25,6.0,12.0
D,2.2,3.4,3.3
A,2.75,3.3,2.62
D,2.6,3.3,2.75
D,2.25,3.25,3.4
D,3.6,3.6,2.0
H,5.5,4.6,1.53
H,1.61,3.8,6.0
D,2.1,3.4,3.6
H,1.66,3.6,5.75
D,2.5,3.3,2.87
A,1.75,3.8,4.75
A,11.0,6.25,1.25
A,4.0,3.8,1.85
H,1.4,4.75,8.0
A,1.85,3.5,4.5
H,1.12,9.5,17.0
H,1.72,4.0,4.5
H,2.1,3.3,3.7
H,1.95,3.4,4.2
D,1.95,3.4,4.2
H,1.61,4.33,5.0
A,4.5,4.2,1.7
H,1.6,3.9,6.0
H,1.5,4.2,7.0
H,2.0,3.6,3.7
H,1.16,8.0,15.0
H,4.33,4.1,1.72
A,2.05,3.25,3.9
D,4.75,3.8,1.72
D,2.62,3.1,2.9
H,2.65,3.6,2.5
H,8.0,4.75,1.4
D,2.5,3.25,2.9
A,2.45,3.2,3.0
H,1.22,6.5,13.0
H,1.57,4.4,5.5
H,2.55,3.2,2.9
H,1.65,3.75,5.75
A,1.61,4.1,5.25
D,1.61,3.9,5.75
D,2.7,3.3,2.62
H,1.8,3.9,4.2
H,5.0,4.33,1.6
H,1.36,5.25,8.0
D,3.2,3.4,2.25
H,1.36,5.25,7.5
A,2.8,3.5,2.45
D,3.0,3.4,2.37
D,3.6,3.5,2.05
H,3.1,3.25,2.37
A,3.6,3.4,2.1
A,2.45,3.2,3.0
H,3.3,3.1,2.37
A,6.0,4.5,1.5
D,6.0,4.2,1.55
H,1.12,9.0,15.0
D,1.6,4.0,5.75
H,1.66,4.0,5.0
H,1.4,4.5,8.5
D,2.3,3.3,3.2
A,3.9,3.6,1.9
H,1.55,4.0,6.0
H,1.22,6.5,13.0
H,3.0,3.25,2.45
A,2.6,3.5,2.62
H,4.0,4.0,1.8
A,4.6,3.7,1.75
A,2.5,3.3,2.87
A,2.25,3.2,3.4
A,6.0,3.8,1.61
H,1.44,4.75,7.0
A,2.4,3.1,3.2
H,2.5,3.3,2.9
H,5.5,4.33,1.57
H,4.2,3.4,1.95
H,2.05,3.9,3.3
A,3.3,3.4,2.2
H,1.66,3.6,5.75
H,1.16,7.5,17.0
A,2.25,3.4,3.25
H,1.4,4.75,8.0
D,2.9,3.0,2.7
D,2.6,3.3,2.75
H,1.33,5.5,8.5
H,8.5,6.0,1.3
H,2.1,3.5,3.4
A,8.5,4.5,1.4
H,1.7,3.75,5.0
D,2.3,3.5,3.0
H,1.12,9.0,21.0
H,3.8,3.2,2.1
A,2.0,3.4,3.9
A,6.0,4.33,1.53
D,5.25,3.8,1.66
D,2.05,3.5,3.6
A,9.0,5.25,1.33
A,3.75,3.75,1.95
H,1.8,3.6,4.5
D,1.22,6.5,12.0
H,6.0,3.8,1.6
A,10.0,5.5,1.28
H,2.05,3.3,3.8
H,2.25,3.3,3.3
H,2.62,3.4,2.7
H,5.25,3.8,1.66
D,1.3,5.5,10.0
H,1.12,9.5,17.0
D,4.5,3.3,1.9
H,1.14,8.5,17.0
A,4.6,3.8,1.75
H,3.8,3.8,1.9
D,2.0,3.5,3.75
H,2.05,3.25,3.9
A,9.5,4.75,1.36
D,2.15,3.3,3.5
H,2.4,3.0,3.3
A,3.2,3.4,2.25
A,2.4,3.6,2.8
H,2.25,3.3,3.25
D,1.9,3.4,4.33
A,2.2,3.25,3.5
H,1.5,4.0,7.5
A,8.5,5.5,1.33
H,3.3,3.6,2.1
D,1.22,6.5,11.0
H,2.0,3.75,3.5
H,1.9,3.8,3.8
A,2.37,3.4,3.0
H,1.85,3.8,4.0
D,6.0,4.2,1.55
A,2.25,3.7,3.0
A,3.25,3.5,2.2
H,1.08,11.0,26.0
A,7.5,5.25,1.36
H,2.15,3.5,3.3
D,3.0,3.6,2.3
D,1.727,3.25,4.333
A,2.8,3.25,2.2
D,2.25,3.25,2.75
H,1.727,3.25,4.333
H,1.667,3.4,4.5
H,1.2,5.0,12.0
D,2.25,3.25,2.75
H,1.222,5.0,10.0
A,3.0,3.25,2.1
H,1.571,3.4,5.5
D,2.75,3.25,2.25
A,2.625,3.2,2.375
A,2.1,3.25,3.0
H,1.333,4.333,7.5
H,2.5,3.2,2.5
D,2.0,3.25,3.25
A,2.1,3.0,3.25
H,1.833,3.25,3.75
A,3.75,3.25,1.833
D,4.0,3.5,1.727
H,1.17,5.5,13.0
A,2.4,3.2,2.6
H,2.2,3.25,2.8
D,3.0,3.25,2.1
D,1.67,3.4,4.5
A,1.5,3.4,6.5
D,3.0,3.25,2.1
H,4.0,3.25,1.8
H,1.727,3.25,4.333
H,2.2,3.25,2.8
D,5.0,3.4,1.615
H,1.667,3.4,4.5
H,2.625,3.2,2.375
A,1.727,3.5,4.0
H,2.5,3.0,2.625
D,3.0,3.0,2.25
D,1.615,3.4,5.0
H,1.333,4.0,9.0
H,1.333,4.333,7.5
H,2.1,3.0,3.25
H,1.8,3.25,4.0
A,2.5,3.2,2.5
H,2.375,3.2,2.625
D,1.25,4.5,11.0
A,1.2,5.5,10.0
A,2.1,3.25,3.0
H,2.0,3.25,3.25
A,1.571,3.4,5.5
A,4.333,3.25,1.727
A,5.0,3.4,1.615
H,1.909,3.25,3.5
H,2.3,3.2,2.7
H,2.75,3.0,2.375
A,2.1,3.25,3.0
H,2.25,3.25,2.75
D,1.909,3.25,3.5
H,1.667,3.4,4.5
H,2.5,3.0,2.625
H,1.2,5.5,10.0
H,1.25,4.5,11.0
H,1.444,3.75,6.5
H,1.667,3.4,4.5
H,1.727,3.2,4.5
D,2.0,3.25,3.25
D,2.1,3.25,3.0
H,1.833,3.25,3.75
H,2.75,3.25,2.25
D,2.625,3.0,2.5
A,2.625,3.2,2.375
D,2.0,3.25,3.25
A,4.5,3.4,1.667
A,1.571,3.4,5.5
H,2.25,3.25,2.75
A,3.0,3.25,2.1
A,2.8,3.25,2.2
H,2.375,3.0,2.75
A,1.833,3.25,3.75
A,2.6,3.2,2.4
H,1.533,3.5,5.5
H,1.4,3.75,7.5
H,2.3,3.2,2.7
A,1.727,3.25,4.333
H,1.167,5.5,13.0
D,2.6,3.2,2.4
A,2.1,3.25,3.0
H,1.667,3.4,4.5
H,1.727,3.25,4.333
H,1.3,4.5,8.0
H,2.3,3.2,2.7
H,5.5,3.5,1.533
D,4.333,3.25,1.727
A,2.75,3.0,2.375
A,2.6,3.2,2.4
A,2.0,3.25,3.25
D,2.375,3.0,2.75
H,2.8,3.2,2.25
H,1.533,3.5,5.5
A,1.727,3.25,4.333
A,1.8,3.25,4.0
A,1.3,4.5,8.0
A,2.1,3.25,3.0
H,1.4,3.75,7.5
H,1.533,3.5,5.5
D,1.3,4.5,8.0
D,2.2,3.25,2.8
H,1.533,3.5,5.5
H,2.375,3.2,2.625
A,2.0,3.25,3.25
D,2.1,3.25,3.0
H,1.909,3.25,3.5
H,1.333,4.333,7.5
H,1.333,4.333,7.5
A,2.4,3.2,2.6
D,1.727,3.25,4.333
D,1.909,3.25,3.5
A,4.5,3.4,1.667
A,1.727,3.25,4.333
D,2.3,3.2,2.7
H,2.0,3.25,3.25
H,1.5,3.5,6.0
H,2.2,3.25,2.8
D,2.0,3.25,3.25
H,1.444,3.75,6.5
H,1.667,3.4,4.5
H,3.5,3.25,1.909
H,3.25,3.25,2.0
D,2.25,3.25,2.75
H,2.7,3.2,2.3
A,2.375,3.2,2.625
H,1.533,3.5,5.5
H,1.727,3.2,4.5
A,1.667,3.4,4.5
H,1.615,3.4,5.0
D,2.625,3.0,2.5
D,2.3,3.2,2.7
A,2.1,3.25,3.0
A,1.5,3.5,6.0
D,1.364,4.0,7.5
D,4.0,3.25,1.8
H,1.8,3.25,4.0
D,3.5,3.25,1.909
H,1.444,3.6,7.0
H,3.75,3.25,1.833
H,1.615,3.4,5.0
H,1.727,3.25,4.333
H,4.333,3.25,1.727
A,1.909,3.25,3.5
H,2.4,3.2,2.6
H,2.1,3.25,3.0
H,1.333,4.0,9.0
D,2.6,3.2,2.4
H,2.0,3.25,3.25
H,1.4,3.75,7.5
H,1.8,3.25,4.0
H,2.7,3.2,2.3
A,1.8,3.25,4.0
A,2.3,3.2,2.7
H,1.909,3.25,3.5
A,2.25,3.25,2.75
A,2.375,3.2,2.625
D,2.6,3.2,2.4
H,3.5,3.25,1.909
A,2.5,3.2,2.5
H,2.1,3.25,3.0
H,2.25,3.25,2.75
D,1.615,3.4,5.0
H,1.727,3.5,4.0
H,1.444,3.6,7.0
A,2.3,3.2,2.7
H,1.8,3.25,4.0
D,2.1,3.25,3.0
H,1.833,3.25,3.75
H,1.286,4.5,9.0
D,2.625,3.2,2.375
D,2.3,3.2,2.7
A,1.8,3.25,4.0
H,4.333,3.25,1.727
D,3.0,3.1,2.2
A,2.4,3.2,2.6
H,1.4,3.75,7.5
D,2.2,3.25,2.8
H,1.5,3.5,6.0
D,1.909,3.25,3.5
H,1.533,3.5,5.5
D,2.375,2.875,2.875
D,1.833,3.25,3.75
H,4.0,3.5,1.727
D,1.833,3.25,3.75
